Component,Score,Status,Severity,Interpretation,Limitation
Performance Adequacy,0.620828,warn,medium,"Macro-F1, balanced accuracy, and QWK for the primary feature policy.","Performance is useful for research comparison, not sufficient for deployment."
Leakage Robustness,1.0,pass,low,Checks exclusion of salary-hike and attrition leakage-risk fields.,"Leakage robustness is policy evidence, not proof of causal validity."
Explanation Stability,0.816168,pass,low,Top-k grouped SHAP stability indicators.,"SHAP is attribution, not causality; local explanations remain case-specific."
Calibration Reliability,0.837676,pass,low,ECE and Brier transformed so higher is better.,Probabilities remain approximate model confidence estimates.
Fairness Robustness,0.731141,warn,medium,Support-filtered subgroup disparity evidence.,Subgroup metrics do not establish fairness or discrimination.
Counterfactual Actionability,0.166667,fail,high,Counterfactual validity by actionability mode.,"Counterfactuals are model scenarios, not employee prescriptions."
Proxy Risk Penalty,0.027615,fail,high,Inverse department reconstructability from remaining features.,Low score means high proxy risk; Department exclusion is not a fairness guarantee.
LLM Faithfulness / Governance Compliance,1.0,pass,low,"Real LLM faithfulness, unsupported-claim, forbidden-claim, and missing-warning rates.",Small-batch automated LLM evaluation is not a human study.
Chatbot Guardrail Compliance,1.0,pass,low,Unsafe refusal and safe audit-answer behavior.,Automated prompt suite coverage is not exhaustive.
External Validation Robustness,,pass_with_warnings,medium,External validation summary exists with HRDataset replication and related robustness boundaries.,"Dataset provenance, restricted IBM target space, related-task transfer, and cross-dataset feature overlap limitations remain."
