model,metric,full_feature_set,comparison_feature_set,full_feature_score,comparison_score,absolute_drop,lsi,interpretation
catboost,macro_f1,all_features,no_salary_hike,0.8577848832555475,0.5606603159613603,0.2971245672941871,0.3463858749369789,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,macro_f1,all_features,no_salary_hike,0.9032172479662994,0.6091084986589396,0.29410874930735986,0.32562348645309924,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,macro_f1,all_features,no_salary_hike,0.9037820216268916,0.5971188415314365,0.3066631800954551,0.3393109984013987,higher_lsi_means_stronger_dependence_on_leakage_risk_features
catboost,macro_f1,all_features,no_salary_hike_no_attrition,0.8577848832555475,0.5567283135865514,0.3010565696689961,0.3509697775582117,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,macro_f1,all_features,no_salary_hike_no_attrition,0.9032172479662994,0.602836850516357,0.3003803974499424,0.33256716269124004,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,macro_f1,all_features,no_salary_hike_no_attrition,0.9037820216268916,0.6020049480132876,0.30177707361360395,0.3339047097555417,higher_lsi_means_stronger_dependence_on_leakage_risk_features
catboost,macro_f1,all_features,no_salary_hike_no_attrition_no_department,0.8577848832555475,0.5527404834224658,0.3050443998330816,0.3556187638506147,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,macro_f1,all_features,no_salary_hike_no_attrition_no_department,0.9032172479662994,0.5938216782188664,0.309395569747433,0.3425483408826323,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,macro_f1,all_features,no_salary_hike_no_attrition_no_department,0.9037820216268916,0.5965327889347274,0.3072492326921642,0.33995944302929043,higher_lsi_means_stronger_dependence_on_leakage_risk_features
catboost,quadratic_weighted_kappa,all_features,no_salary_hike,0.7949425947402163,0.5758145238122823,0.21912807092793407,0.2756526979153056,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,quadratic_weighted_kappa,all_features,no_salary_hike,0.8632702659464423,0.632872809455048,0.23039745649139431,0.26688913724927055,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,quadratic_weighted_kappa,all_features,no_salary_hike,0.8676215062682555,0.6379946257591119,0.2296268805091436,0.2646625041566759,higher_lsi_means_stronger_dependence_on_leakage_risk_features
catboost,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition,0.7949425947402163,0.5791303651356009,0.21581222960461544,0.2714815271348517,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition,0.8632702659464423,0.6292707624801396,0.23399950346630272,0.271061697242356,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition,0.8676215062682555,0.6403375189140723,0.2272839873541832,0.2619621409936678,higher_lsi_means_stronger_dependence_on_leakage_risk_features
catboost,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition_no_department,0.7949425947402163,0.5657840167730583,0.229158577967158,0.2882705990135627,higher_lsi_means_stronger_dependence_on_leakage_risk_features
lightgbm,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition_no_department,0.8632702659464423,0.6097601501794278,0.25351011576701454,0.29366251308225,higher_lsi_means_stronger_dependence_on_leakage_risk_features
xgboost,quadratic_weighted_kappa,all_features,no_salary_hike_no_attrition_no_department,0.8676215062682555,0.6330151835096145,0.23460632275864102,0.27040169136391173,higher_lsi_means_stronger_dependence_on_leakage_risk_features
