class_label,feature,mean_abs_shap
2,EmpEnvironmentSatisfaction,0.4522465660011449
2,YearsSinceLastPromotion,0.21265224756464837
2,EmpDepartment,0.08011840155217786
2,ExperienceYearsInCurrentRole,0.03226369190821129
2,EmpWorkLifeBalance,0.014241516721457702
2,EmpLastSalaryHikePercent,0.012706642164776587
2,ExperienceYearsAtThisCompany,0.01106301939941978
2,EmpJobRole,0.008576833714642186
2,YearsWithCurrManager,0.006183171174010571
2,EmpJobInvolvement,0.005629847894995046
2,EmpHourlyRate,0.0032534496532548624
2,EducationBackground,0.003141924385569186
2,NumCompaniesWorked,0.003035519744033146
2,EmpRelationshipSatisfaction,0.002774192168660004
2,OverTime,0.0026107510316136684
2,BusinessTravelFrequency,0.002393141423040461
2,TotalWorkExperienceInYears,0.00227998394235584
2,Age,0.002191040815905016
2,Attrition,0.002127299813844753
2,EmpJobSatisfaction,0.002043102719085899
2,DistanceFromHome,0.0017259785446564308
2,EmpJobLevel,0.0016970883513930943
2,EmpEducationLevel,0.0011760945601746525
2,TrainingTimesLastYear,0.00020445509181157677
3,EmpEnvironmentSatisfaction,0.3278012645018316
3,EmpLastSalaryHikePercent,0.31227491230742604
3,YearsSinceLastPromotion,0.14510272608598035
3,EmpDepartment,0.05467307278388934
3,EmpWorkLifeBalance,0.0248573605581934
3,ExperienceYearsInCurrentRole,0.01745259517392539
3,ExperienceYearsAtThisCompany,0.010506632018098675
3,EmpJobInvolvement,0.010067321839029145
3,NumCompaniesWorked,0.005861801629026405
3,EducationBackground,0.0057903221487225895
3,BusinessTravelFrequency,0.005648633196831849
3,EmpJobSatisfaction,0.0051940171920162315
3,TotalWorkExperienceInYears,0.004692997693197789
3,YearsWithCurrManager,0.004389094927776836
3,Attrition,0.004354350673505271
3,OverTime,0.004333072056321442
3,Age,0.0038992762348925205
3,EmpJobRole,0.00383489321395596
3,EmpJobLevel,0.0036505520530036913
3,EmpHourlyRate,0.0035309055512033837
3,EmpRelationshipSatisfaction,0.0025634815273164104
3,EmpEducationLevel,0.0023553296189654485
3,DistanceFromHome,0.0023094488635188514
3,TrainingTimesLastYear,0.00120212420933478
4,EmpLastSalaryHikePercent,0.3199977909267805
4,EmpEnvironmentSatisfaction,0.12657618895797476
4,YearsSinceLastPromotion,0.06860539648222216
4,EmpDepartment,0.025679874972168885
4,ExperienceYearsInCurrentRole,0.019581314952858166
4,EmpWorkLifeBalance,0.016659046701322712
4,YearsWithCurrManager,0.00745148267712938
4,EmpJobRole,0.005759565402328971
4,EmpJobInvolvement,0.005392522820695009
4,BusinessTravelFrequency,0.004026457683990217
4,EducationBackground,0.004016779059643379
4,TotalWorkExperienceInYears,0.0035503876392355247
4,EmpJobSatisfaction,0.0033978993485747695
4,NumCompaniesWorked,0.0032720526164018797
4,ExperienceYearsAtThisCompany,0.003078852654320624
4,EmpJobLevel,0.00284301720727835
4,Attrition,0.00272927434216209
4,EmpRelationshipSatisfaction,0.002282985128602479
4,EmpHourlyRate,0.00223683985065165
4,Age,0.002233415097776477
4,DistanceFromHome,0.0020321449266657186
4,OverTime,0.0018759365873556087
4,EmpEducationLevel,0.0016645014273532484
4,TrainingTimesLastYear,0.0010513762320432359
